Symbol,Date,Open,High,Low,Close,Volume
kospi,2020-06-26,213747,214204,211525,213465,761043
kospi,2020-06-29,210554,212050,208784,209348,643155
kospi,2020-06-30,212438,213438,210826,210833,708604
kospi,2020-07-01,212881,213355,210133,210670,1116220
kospi,2020-07-02,211672,213537,211398,213537,1091965
kospi,2020-07-03,214789,215354,213530,215241,770054
kospi,2020-07-06,215895,219128,215771,218793,666902
kospi,2020-07-07,220204,220679,216403,216417,847434
kospi,2020-07-08,216676,217383,215089,215888,677810
kospi,2020-07-09,217115,218148,216674,216790,619368
kospi,2020-07-10,217144,217152,214029,215025,886987
kospi,2020-07-13,217051,218880,216307,218606,650230
kospi,2020-07-14,217643,218361,216560,218361,810952
kospi,2020-07-15,220873,221697,219066,220188,830266
kospi,2020-07-16,220330,220734,217782,218376,784637
kospi,2020-07-17,218785,220420,218785,220119,569297
kospi,2020-07-20,220959,220959,218383,219820,686819
kospi,2020-07-21,221919,223486,221428,222883,918483
kospi,2020-07-22,222820,223886,222162,222866,856218
kospi,2020-07-23,222724,222724,220299,221619,934542
kospi,2020-07-24,219673,221957,219549,220044,1001024
kospi,2020-07-27,220348,223125,220348,221786,928624
kospi,2020-07-28,223819,226600,223721,225699,866725
kospi,2020-07-29,225835,227679,225224,226316,899494
kospi,2020-07-30,227533,228133,226381,226701,713039
kospi,2020-07-31,227853,228141,224849,224937,739688
kospi,2020-08-03,225165,225438,223704,225104,648462
kospi,2020-08-04,227233,228466,226969,227997,722906
kospi,2020-08-05,228923,231214,228395,231186,841298
kospi,2020-08-06,232264,235248,232264,234261,797147
kospi,2020-08-07,234925,236224,233362,235167,812594
kospi,2020-08-10,235392,239051,234933,238638,784617
kospi,2020-08-11,239611,242936,239611,241867,843437
kospi,2020-08-12,241478,243235,239327,243235,763734
kospi,2020-08-13,245528,245817,241249,243753,907218
kospi,2020-08-14,242785,243500,238369,240749,968124
kospi,2020-08-18,240584,241965,233678,234824,909750
kospi,2020-08-19,237087,238010,235317,236054,637965
kospi,2020-08-20,233991,235708,227085,227422,903743
kospi,2020-08-21,230616,232934,228097,230459,865735
kospi,2020-08-24,230938,233233,228348,232983,649276
kospi,2020-08-25,235215,236978,234097,236673,771584
kospi,2020-08-26,236774,237468,233698,236932,956477
kospi,2020-08-27,237195,237336,234438,234445,913917
kospi,2020-08-28,236222,237926,234528,235380,1297312
kospi,2020-08-31,237709,238150,232606,232617,1647817
kospi,2020-09-01,234019,235590,233123,234955,1085245
kospi,2020-09-02,236343,236957,234129,236437,1429273
kospi,2020-09-03,238326,240178,238223,239590,981546
kospi,2020-09-04,233268,237102,233268,236825,1351039
kospi,2020-09-07,236985,238749,236242,238422,1197385
kospi,2020-09-08,240266,240756,239143,240191,979357
kospi,2020-09-09,237253,238885,236912,237581,946247
kospi,2020-09-10,240483,240668,238856,239648,1064574
kospi,2020-09-11,238976,239756,237400,239669,882880
kospi,2020-09-14,241833,242907,241079,242791,963082
kospi,2020-09-15,243459,244457,242379,244358,849968
kospi,2020-09-16,244272,245053,242994,243592,772938
kospi,2020-09-17,243077,243702,239869,240617,853740
kospi,2020-09-18,241353,241781,239633,241240,756516
kospi,2020-09-21,241244,242717,237938,238939,1041993
kospi,2020-09-22,238814,238849,232358,233259,1051028
kospi,2020-09-23,235256,235446,228744,233324,735041
kospi,2020-09-24,229562,230974,226888,227270,714881
kospi,2020-09-25,229519,229636,226763,227879,697961
kospi,2020-09-28,230116,231481,229132,230808,605977
kospi,2020-09-29,233151,233983,232004,232789,646218
kospi,2020-10-05,233055,236473,232783,235800,763618
kospi,2020-10-06,236917,237828,235539,236590,861754
kospi,2020-10-07,235082,238745,234782,238694,737994
kospi,2020-10-08,240849,240901,238382,239196,961726
kospi,2020-10-12,240418,240942,239374,240373,843574
kospi,2020-10-13,241685,241889,238587,240315,724920
kospi,2020-10-14,240374,240556,237554,238048,901176
kospi,2020-10-15,237591,237673,234874,236121,1165501
kospi,2020-10-16,236388,237073,232503,234153,920205
kospi,2020-10-19,235292,236425,234477,234674,931645
kospi,2020-10-20,233356,235841,232206,235841,874293
kospi,2020-10-21,236303,237174,235632,237086,812837
kospi,2020-10-22,235561,236022,233973,235505,815612
kospi,2020-10-23,236484,236857,234449,236081,890384
kospi,2020-10-26,236650,237450,234258,234391,822267
kospi,2020-10-27,232866,234933,232123,233084,666941
kospi,2020-10-28,232418,234546,231647,234526,705770
kospi,2020-10-29,231234,233017,229991,232667,509768
kospi,2020-10-30,231956,232020,226693,226715,795585
kospi,2020-11-02,227661,230264,226795,230016,678501
kospi,2020-11-03,231581,234477,231530,234331,887445
kospi,2020-11-04,236132,237114,233995,235732,986786
kospi,2020-11-05,237341,241379,237085,241379,702037
kospi,2020-11-06,242179,243111,240497,241650,825568
kospi,2020-11-09,243863,245915,243452,244720,1354862
kospi,2020-11-10,245395,245794,243559,245283,1464168
kospi,2020-11-11,245950,248804,245950,248587,1272038
kospi,2020-11-12,248268,248879,246704,247562,1278691
kospi,2020-11-13,247012,249577,246096,249387,1072383
kospi,2020-11-16,250746,254637,250746,254303,1239135
kospi,2020-11-17,254412,255609,253334,253915,1267494
kospi,2020-11-18,254885,255395,253678,254564,923504
kospi,2020-11-19,253689,254895,252953,254742,976483
kospi,2020-11-20,254406,255821,253979,255350,1129500
kospi,2020-11-23,256004,260492,255370,260109,954313
kospi,2020-11-23,256004,260558,255370,260259,1625446
