종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
005930,삼성전자,코스피,전기전자,72300,-700,431615278365000,2020-12-22,-,72300,3166,37528,1416,1.96,21.5971598546391,1.76676953622256,10.2340106601826,2.01583015687005
000660,SK하이닉스,코스피,전기전자,112500,-3500,81900266062500,2020-12-22,-,112500,2943,65836,1000,0.89,42.6683947101773,1.79179276873467,13.250289836809,3.18273624137203
051910,LG화학,코스피,화학,797000,-18000,56262097371000,2020-12-22,-,797000,4085,217230,2000,0.25,184.251871646458,3.3217441856211,18.5013413777194,2.01727638686463
207940,삼성바이오로직스,코스피,의약품,803000,-20000,5.3130495e+13,2020-12-22,-,803000,3067,65812,0,0,258.920699852144,12.0645332414743,5150.49117647059,74.878862599772
068270,셀트리온,코스피,의약품,359000,-8000,48464211995000,2020-12-22,-,359000,2236,20795,0,0,157.633525663642,16.1375085096319,98.9699097837553,41.5699931214001
035420,NAVER,코스피,서비스업,284000,0,46650804180000,2020-12-22,-,284000,4006,35223,376,0.13,79.4413949408335,7.12223087532096,34.1408294442807,7.02555242970243
005380,현대차,코스피,운수장비,184000,-3000,39314946408000,2020-12-22,-,184000,11310,253001,4000,2.17,13.4080372379195,0.52321786675449,95.1785397070033,0.37784691459
006400,삼성SDI,코스피,전기전자,555000,-11000,38164314150000,2020-12-22,-,555000,5331,175114,1000,0.18,108.595877671809,3.05793941612758,41.9395844328892,3.83409891556242
035720,카카오,코스피,서비스업,376000,-3500,33204664904000,2020-12-22,-,376000,,60603,127,0.03,,5.7621421132036,43.9421707772021,10.7733532927266
051900,LG생활건강,코스피,화학,1606000,-24000,25082824382000,2020-12-22,-,1606000,46431,234042,11000,0.68,32.6173629674849,5.98984449859574,22.2705950552826,3.30230959026206
028260,삼성물산,코스피,유통업,132500,5000,24762538232500,2020-12-22,-,132500,6366,125948,2000,1.51,24.7379337767832,0.973220700469427,33.7017439789829,0.844474562651366
000270,기아차,코스피,운수장비,59800,-1500,24240728150600,2020-12-22,-,59800,4556,71487,1150,1.92,13.6918588218646,0.863097253094578,6.92688911011715,0.430139966805971
005490,POSCO,코스피,철강금속,267500,-7000,23322478362500,2020-12-22,-,267500,22823,510076,10000,3.74,12.875392232031,0.494356744262439,3.93485640997885,0.367077939015144
012330,현대모비스,코스피,운수장비,244000,-5000,23193345336000,2020-12-22,-,244000,24234,339207,4000,1.64,10.4154748304012,0.736162377628851,9.02338345523997,0.627055996352053
017670,SK텔레콤,코스피,통신업,244000,-5000,19701953484000,2020-12-22,-,244000,12144,284310,10000,4.1,22.4117211113608,0.873844529410476,5.00343458944833,1.12401531907099
036570,엔씨소프트,코스피,서비스업,865000,1000,18990229030000,2020-12-22,-,865000,17387,113836,5220,0.6,54.9769897654941,7.83884950800096,50.2110090107088,11.5758039818951
105560,KB금융,코스피,금융업,44550,-600,18524242836000,2020-12-22,-,44550,8451,92672,2210,4.96,5.70640436137448,0.483098367404325,2.01032582297063,
015760,한국전력,코스피,전기가스업,26800,-1250,17204637263600,2020-12-22,-,26800,,105140,0,0,,0.25160590392454,2.11033555884287,0.292921761127138
055550,신한지주,코스피,금융업,33150,-350,17122864580250,2020-12-22,-,33150,7000,79682,1850,5.58,5.05372222873513,0.4102117701119,2.39592472565817,
096770,SK이노베이션,코스피,화학,182000,-5500,16828732648000,2020-12-22,-,182000,,186398,3000,1.65,,0.916551396076795,9.14121716617373,0.334627215261696
034730,SK,코스피,금융업,235500,-5000,16569849943500,2020-12-22,-,235500,12917,235255,5000,2.12,23.7378947079325,0.326300181938041,2.13405422795408,0.171533375181082
032830,삼성생명,코스피,금융업,80000,4200,1.6e+13,2020-12-22,-,80000,5443,178335,2650,3.31,16.7996726007776,0.440021009529322,1.89947365376829,
066570,LG전자,코스피,전기전자,92200,-2700,15088328450800,2020-12-22,-,92200,169,79245,750,0.81,585.576842428115,1.11588697590882,4.96816523040226,0.2941690420536
018260,삼성에스디에스,코스피,서비스업,177500,-2000,13734559500000,2020-12-22,-,177500,9521,84595,2400,1.35,18.8585405295316,2.06526424492952,15.539623070038,1.29569341206761
003550,LG,코스피,금융업,78300,-300,13511223357300,2020-12-22,-,78300,6143,107050,2200,2.81,13.5821429160107,0.771113828663057,17.9154221754,2.23067481863945
326030,SK바이오팜,코스피,서비스업,172500,-4500,13509035625000,2020-12-22,-,172500,,,0,0,,,,108.083662227603
009150,삼성전기,코스피,전기전자,164000,-4000,12249766144000,2020-12-22,-,164000,6806,68106,1100,0.67,24.3266460820533,2.30404487578498,12.2502634681289,1.55596384439359
033780,KT&G,코스피,기타제조업,87300,-1300,11985634988100,2020-12-22,-,87300,8208,63008,4400,5.04,11.7092684368548,1.3940726099312,11.6418769638369,2.4453289681657
090430,아모레퍼시픽,코스피,화학,202500,-4500,11837844225000,2020-12-22,-,202500,3477,65050,1000,0.49,49.5722119974874,2.63133373899707,16.4803622789921,2.12143944104944
086790,하나금융지주,코스피,금융업,35550,-500,10673605304100,2020-12-22,-,35550,7898,93673,2100,5.91,4.49434095149691,0.370838019223869,1.64606897802417,
251270,넷마블,코스피,서비스업,122500,-2000,10516049617500,2020-12-22,-,122500,1883,51919,0,0,68.7863004807692,2.3085134081277,28.1423101888277,4.92525950107862
000810,삼성화재,코스피,금융업,194000,-2500,9190718378000,2020-12-22,-,194000,15126,282791,8500,4.38,14.4040134269051,0.646709164851202,10.1788994763161,
011170,롯데케미칼,코스피,화학,260000,-4500,8911608940000,2020-12-22,-,260000,20860,385244,6700,2.58,12.703476972028,0.646333267037166,7.10774398231474,0.600587564717162
018880,한온시스템,코스피,기계,15300,50,8.16714e+12,2020-12-22,-,15300,597,4153,320,2.09,26.6481004709576,3.63098181818182,10.9036742034943,1.18635486846887
010130,고려아연,코스피,철강금속,413500,-9500,7.802745e+12,2020-12-22,-,413500,35811,355878,14000,3.39,12.313651445726,1.13963938933084,11.2506279774794,1.16408406524467
010950,S-Oil,코스피,화학,69300,-900,7801987485600,2020-12-22,-,69300,561,55715,200,0.29,118.780009908257,1.19573509959056,11.4339308919635,0.318445066778169
009540,한국조선해양,코스피,운수장비,109500,-500,7749656202000,2020-12-22,-,109500,2183,163436,0,0,46.5782847531993,0.591313564438393,,0.503437917616219
009830,한화솔루션,코스피,화학,45600,-550,7289821063200,2020-12-22,-,45600,,35228,200,0.44,,1.25698685591133,6.05075390767764,0.767924225063925
316140,우리금융지주,코스피,금융업,9970,-30,7201008799510,2020-12-22,-,9970,2727,29782,700,7.02,3.91572320395791,0.287577699244478,3.91970110808426,
024110,기업은행,코스피,금융업,9330,-80,6891738478800,2020-12-22,-,9330,2242,33567,670,7.18,4.34697857890148,0.30647147519823,,
086280,현대글로비스,코스피,운수창고업,179500,-1000,6.73125e+12,2020-12-22,-,179500,13395,124541,3500,1.95,13.5874975114473,1.46136222512472,9.21052631578947,0.373561173720998
030200,KT,코스피,통신업,25200,-400,6580017561600,2020-12-22,-,25200,2526,52341,1100,4.37,10.7320663979328,0.437564727306249,1.7743499715903,0.272995982828104
003670,포스코케미칼,코스피,비금속광물,105500,-1500,6434257210000,2020-12-22,-,105500,1569,15352,400,0.38,63.1016731683168,6.33336876676935,101.485175,4.29523452621647
019170,신풍제약,코스피,의약품,120500,-2000,6384691295000,2020-12-22,-,120500,35,3782,0,0,1189.66298301887,30.1540593495935,325.011021134021,33.2378166051661
034220,LG디스플레이,코스피,전기전자,17150,-450,6136539255000,2020-12-22,-,17150,,31694,0,0,,0.51143952699727,2.35987816183263,0.272070159868118
006800,미래에셋대우,코스피,금융업,9440,-160,6091786891520,2020-12-22,-,9440,956,11236,260,2.75,9.43004098488619,0.675948160572572,,
097950,CJ제일제당,코스피,음식료품,379000,2500,5705536494000,2020-12-22,-,379000,9516,297949,3500,0.92,37.7588599672131,0.607311727574751,2.68686768932854,0.257609938261939
352820,빅히트,코스피,서비스업,154500,-4000,5503870920000,2020-12-22,-,154500,2951,6113,0,0,76.2676704607046,32.4412338904899,61.3800881134133,9.58541226158038
021240,코웨이,코스피,서비스업,71000,-800,5239772949000,2020-12-22,-,71000,4611,14611,2400,3.38,16.0501424319616,4.96016748570368,9.90745858631559,1.76988055768657
