Symbol,Date,Open,High,Low,Close,Volume
kosdaq,1996-07-02,100170,100170,100170,100170,143
kosdaq,1996-07-03,100530,100530,100530,100530,115
kosdaq,1996-07-04,101840,101840,101840,101840,235
kosdaq,1996-07-05,103780,103780,103780,103780,59
kosdaq,1996-07-06,104880,104880,104880,104880,34
kosdaq,1996-07-08,104820,104820,104820,104820,39
kosdaq,1996-07-09,106010,106010,106010,106010,45
kosdaq,1996-07-10,106690,106690,106690,106690,76
kosdaq,1996-07-11,107670,107670,107670,107670,55
kosdaq,1996-07-12,108270,108270,108270,108270,49
kosdaq,1996-07-13,108230,108230,108230,108230,23
kosdaq,1996-07-15,107640,107640,107640,107640,63
kosdaq,1996-07-16,108840,108840,108840,108840,94
kosdaq,1996-07-18,110050,110050,110050,110050,234
kosdaq,1996-07-19,111080,111080,111080,111080,78
kosdaq,1996-07-20,111100,111100,111100,111100,33
kosdaq,1996-07-22,111110,111110,111110,111110,136
kosdaq,1996-07-23,111320,111320,111320,111320,59
kosdaq,1996-07-24,111690,111690,111690,111690,50
kosdaq,1996-07-25,111690,111690,111690,111690,73
kosdaq,1996-07-26,111670,111670,111670,111670,122
kosdaq,1996-07-27,112360,112360,112360,112360,216
kosdaq,1996-07-29,113090,113090,113090,113090,39
kosdaq,1996-07-30,113480,113480,113480,113480,41
kosdaq,1996-07-31,114130,114130,114130,114130,38
kosdaq,1996-08-01,114540,114540,114540,114540,31
kosdaq,1996-08-02,115410,115410,115410,115410,25
kosdaq,1996-08-03,115580,115580,115580,115580,18
kosdaq,1996-08-05,114940,114940,114940,114940,40
kosdaq,1996-08-06,115360,115360,115360,115360,37
kosdaq,1996-08-07,116240,116240,116240,116240,34
kosdaq,1996-08-08,116570,116570,116570,116570,36
kosdaq,1996-08-09,116180,116180,116180,116180,66
kosdaq,1996-08-10,116660,116660,116660,116660,22
kosdaq,1996-08-12,116770,116770,116770,116770,31
kosdaq,1996-08-13,117070,117070,117070,117070,46
kosdaq,1996-08-14,117020,117020,117020,117020,44
kosdaq,1996-08-16,116860,116860,116860,116860,41
kosdaq,1996-08-17,116730,116730,116730,116730,109
kosdaq,1996-08-19,116300,116300,116300,116300,48
kosdaq,1996-08-20,115730,115730,115730,115730,39
kosdaq,1996-08-21,115920,115920,115920,115920,30
kosdaq,1996-08-22,115850,115850,115850,115850,41
kosdaq,1996-08-23,115060,115060,115060,115060,82
kosdaq,1996-08-24,114980,114980,114980,114980,91
kosdaq,1996-08-26,114810,114810,114810,114810,91
kosdaq,1996-08-27,115310,115310,115310,115310,103
kosdaq,1996-08-28,115050,115050,115050,115050,239
kosdaq,1996-08-29,115460,115460,115460,115460,47
kosdaq,1996-08-30,115520,115520,115520,115520,93
kosdaq,1996-08-31,115530,115530,115530,115530,37
kosdaq,1996-09-02,114890,114890,114890,114890,47
kosdaq,1996-09-03,114460,114460,114460,114460,154
kosdaq,1996-09-04,114800,114800,114800,114800,108
kosdaq,1996-09-05,115720,115720,115720,115720,42
kosdaq,1996-09-06,116410,116410,116410,116410,91
kosdaq,1996-09-07,116680,116680,116680,116680,37
kosdaq,1996-09-09,117680,117680,117680,117680,73
kosdaq,1996-09-10,118140,118140,118140,118140,48
kosdaq,1996-09-11,118310,118310,118310,118310,220
kosdaq,1996-09-12,117970,117970,117970,117970,87
kosdaq,1996-09-13,118560,118560,118560,118560,79
kosdaq,1996-09-14,118550,118550,118550,118550,64
kosdaq,1996-09-16,118600,118600,118600,118600,98
kosdaq,1996-09-17,117890,117890,117890,117890,108
kosdaq,1996-09-18,118220,118220,118220,118220,123
