종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
005930,삼성전자,77200,1100,1.45,KOSPI,전기전자,460867212860000,3841,39406,2994,3.88,2021-09-24,17.7097355914729,1.67445014774523,7.07738400248135,1.95121415063744
000660,SK하이닉스,107000,3000,2.88,KOSPI,전기전자,77896253055000,6952,71275,1170,1.09,2021-09-24,16.151973566802,1.47959123751905,6.23684484331606,2.40762653469862
035420,NAVER,403000,1000,0.25,KOSPI,서비스업,66198148185000,6877,44850,402,0.1,2021-09-24,65.5676659016066,7.95936548315587,45.4017122719735,12.3876544559869
207940,삼성바이오로직스,933000,17000,1.86,KOSPI,의약품,6.1731945e+13,3642,69505,0,0,2021-09-24,252.580082987552,13.2364529877359,301.196437407224,52.2594436813187
035720,카카오,119500,-2000,-1.65,KOSPI,서비스업,53176565510000,369,14286,30,0.03,,323.85,8.36,,
006400,삼성SDI,725000,0,0,KOSPI,전기전자,49854284250000,8593,184387,1000,0.14,,84.37,3.93,,
051910,LG화학,701000,-15000,-2.09,KOSPI,화학,49485232443000,6666,230440,10000,1.43,,105.16,3.04,,
005380,현대차,209000,1000,0.48,KOSPI,운수장비,44656651083000,5454,250888,3000,1.44,,38.32,0.83,,
068270,셀트리온,275500,8500,3.18,KOSPI,의약품,38001014258000,3756,24262,0,0,,73.35,11.36,,
000270,기아,84100,-400,-0.47,KOSPI,운수장비,34091057482700,3710,73740,1000,1.19,,22.67,1.14,,
323410,카카오뱅크,68000,900,1.34,KOSPI,은행,32306816116000,309,6861,0,0,,220.06,9.91,,
005490,POSCO,362500,-2000,-0.55,KOSPI,철강금속,31605227687500,20165,508464,8000,2.21,,17.98,0.71,,
012330,현대모비스,267500,-3000,-1.11,KOSPI,운수장비,25357152645000,16389,349812,4000,1.5,,16.32,0.76,,
028260,삼성물산,129500,1000,0.78,KOSPI,유통업,24201876989500,6278,160189,2300,1.78,,20.63,0.81,,
259960,크래프톤,493500,1500,0.3,KOSPI,서비스업,24157538107500,13771,28377,0,0,,35.84,17.39,,
066570,LG전자,139500,-1500,-1.06,KOSPI,전기전자,22828870053000,10926,85368,1200,0.86,,12.77,1.63,,
096770,SK이노베이션,240000,3000,1.27,KOSPI,화학,22191735360000,,155153,0,0,,,1.55,,
017670,SK텔레콤,301000,-1000,-0.33,KOSPI,통신업,21690103043000,20463,294058,10000,3.32,,14.71,1.02,,
105560,KB금융,52100,0,0,KOSPI,기타금융,21663592632000,8809,102219,1770,3.4,,5.91,0.51,,
051900,LG생활건강,1358000,-25000,-1.81,KOSPI,화학,21209511526000,47596,268428,11000,0.81,,28.53,5.06,,
302440,SK바이오사이언스,272500,-7500,-2.68,KOSPI,의약품,2.084625e+13,537,4310,0,0,,507.45,63.23,,
