종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
005930,삼성전자,77300,-100,-0.13,KOSPI,전기전자,461464191115000,3841,39406,2994,3.87,2021-09-24,17.686854796135,1.67228677546132,7.0682400955014,1.9486932021224,G4530,WICS 반도체와반도체장비,431176010,346098143,80.27,80.27,1,G45,IT,1,0,4477336913,G45,0.0945,big
000660,SK하이닉스,104000,-1500,-1.42,KOSPI,전기전자,75712245960000,6952,71275,1170,1.13,2021-09-24,15.9223246535299,1.45855439527944,6.14816932421678,2.37339487780717,G4530,WICS 반도체와반도체장비,431176010,56027062,12.99,93.26,1,G45,IT,2,0,538721750,G45,0.0916,big
035420,NAVER,405500,5500,1.38,KOSPI,서비스업,66608806672500,6877,44850,402,0.1,2021-09-24,66.4692213077537,8.06880675854926,46.0259858157131,12.5579847047567,G5020,WICS 미디어와엔터테인먼트,150344455,51954869,34.56,34.56,1,G50,커뮤니케이션서비스,1,3,128125448,G50,0.1214,big
207940,삼성바이오로직스,922000,2000,0.22,KOSPI,의약품,6.100413e+13,3642,69505,0,0,2021-09-24,253.129170124481,13.2652278855354,301.851212271153,52.3730511675824,G3520,WICS 제약과생물공학,139968350,15251033,10.9,31.45,1,G35,건강관리,2,16,16541250,G35,0.0524,big
051910,LG화학,761000,1000,0.13,KOSPI,화학,53720773023000,6666,230440,10000,1.31,2021-09-24,104.800571640655,2.85894781500128,9.19750257207917,1.78613778275398,G1510,WICS 소재,130796768,34381295,26.29,26.29,1,G15,소재,1,8,45179100,G15,0.0273,big
035720,카카오,119500,4500,3.91,KOSPI,서비스업,53176565510000,369,14286,30,0.03,2021-09-24,341.751706362468,7.15922365065902,54.7591036041602,12.7926687620285,G5020,WICS 미디어와엔터테인먼트,150344455,36691830,24.41,58.96,1,G50,커뮤니케이션서비스,2,3,307044604,G50,0.0209,big
006400,삼성SDI,726000,-5000,-0.68,KOSPI,전기전자,49923048780000,8593,184387,1000,0.14,2021-09-24,86.8680159735514,3.73706284050334,25.6173279864532,4.42000290222049,G4535,WICS 전자와 전기제품,72412941,36943056,51.02,51.02,1,G45,IT,1,2,50885752,G45,0.043,big
005380,현대차,207000,-1500,-0.72,KOSPI,운수장비,44229314709000,5454,250888,3000,1.45,2021-09-24,31.0511897704297,0.579365147286517,,0.425291686625461,G2510,WICS 자동차와부품,88703179,29191348,32.91,32.91,1,G25,경기관련소비재,1,3,141021003,G25,0.0187,big
068270,셀트리온,274500,-10000,-3.51,KOSPI,의약품,37863079542000,3756,24262,0,0,2021-09-24,74.0525709798553,10.958288823223,107.964298665526,20.4764910183332,G3520,WICS 제약과생물공학,139968350,28775940,20.56,20.56,1,G35,건강관리,1,16,104830384,G35,0.148,big
000270,기아,82600,-1600,-1.9,KOSPI,운수장비,33483012462200,3710,73740,1000,1.21,2021-09-24,22.508075061979,1.12014413573668,6.17323557997013,0.565896360745064,G2510,WICS 자동차와부품,88703179,20759468,23.4,56.31,1,G25,경기관련소비재,2,3,251325275,G25,0.0498,big
323410,카카오뱅크,69000,2600,3.92,KOSPI,은행,32781916353000,309,6861,0,0,2021-09-24,223.3,11.7203848240972,193.975836408284,,G4010,WICS 은행,68713696,9834575,14.31,80.89,1,G40,금융,4,3,142530071,G40,0.0525,big
005490,POSCO,345000,-1500,-0.43,KOSPI,철강금속,30079458075000,20165,508464,8000,2.32,2021-09-24,18.7750190843268,0.630932573634598,3.46310119794605,0.520470682766712,G1510,WICS 소재,130796768,20754826,15.87,42.15,1,G15,소재,2,8,60158916,G15,0.0336,big
012330,현대모비스,260000,-3000,-1.14,KOSPI,운수장비,24646204440000,16389,349812,4000,1.54,2021-09-24,16.1181115950559,0.739502235050903,9.95122721363104,0.672906350320123,G2510,WICS 자동차와부품,88703179,16512957,18.62,74.93,1,G25,경기관련소비재,3,3,63511373,G25,0.0459,big
259960,크래프톤,493000,-7000,-1.4,KOSPI,서비스업,24133062385000,13771,28377,0,0,2021-09-24,43.3813812421355,19.8773267317354,37.1849959707242,14.4474750868056,G5020,WICS 미디어와엔터테인먼트,150344455,12549192,8.35,67.31,1,G50,커뮤니케이션서비스,3,3,25454751,G50,0.4582,big
028260,삼성물산,128000,-2500,-1.92,KOSPI,유통업,23921546368000,6278,160189,2300,1.8,2021-09-24,23.1014450680831,0.726094500553945,18.8670607839735,0.791682128666506,G2010,WICS 자본재,124006699,12439204,10.03,10.03,1,G20,산업재,1,18,97181282,G20,0.0314,big
096770,SK이노베이션,249000,3500,1.43,KOSPI,화학,23023925436000,,155153,0,0,2021-09-24,,1.48940229880001,8.07630329591694,0.673913724363008,G1010,WICS 에너지,25065943,12893398,51.44,51.44,1,G10,에너지,1,2,51780716,G10,,big
066570,LG전자,139500,-1000,-0.71,KOSPI,전기전자,22828870053000,10926,85368,1200,0.86,2021-09-24,11.598267567444,1.30137612104594,4.93213283779113,0.360862287834719,G4535,WICS 전자와 전기제품,72412941,15067054,20.81,71.82,1,G45,IT,2,2,108007557,G45,0.1122,big
017670,SK텔레콤,308500,-1500,-0.48,KOSPI,통신업,22230554115500,20463,294058,10000,3.24,2021-09-24,14.7770234748072,0.911230196321558,3.81843626917329,1.19360602401649,G5010,WICS 전기통신서비스,21038312,11559888,54.95,54.95,1,G50,커뮤니케이션서비스,1,2,37471274,G50,0.0617,big
105560,KB금융,53000,1500,2.91,KOSPI,기타금융,22037819760000,8809,102219,1770,3.34,2021-09-24,6.37816038434823,0.508234718817384,,,G4010,WICS 은행,68713696,16969121,24.7,24.7,1,G40,금융,1,3,320172098,G40,0.0797,big
302440,SK바이오사이언스,274500,15500,5.98,KOSPI,의약품,2.099925e+13,537,4310,0,0,2021-09-24,511.17,79.6029188779378,174.702579034942,93.0817819148936,G3520,WICS 제약과생물공학,139968350,5459805,3.9,43.14,1,G35,건강관리,4,16,19890000,G35,0.1557,big
051900,LG생활건강,1339000,2000,0.15,KOSPI,화학,20912765783000,47596,268428,11000,0.82,2021-09-24,26.2196160769809,4.31262183102367,20.812864035629,2.66591443469947,G2520,WICS 내구소비재와의류,49360418,12547659,25.42,25.42,1,G25,경기관련소비재,1,7,9370918,G25,0.1645,big
055550,신한지주,39650,700,1.8,KOSPI,기타금융,20483172316100,6654,82515,1500,3.78,2021-09-24,5.99870330817665,0.441858112084717,,,G4010,WICS 은행,68713696,16796201,24.44,49.14,1,G40,금융,2,3,423611634,G40,0.0737,big
034730,SK,269000,-2500,-0.92,KOSPI,기타금융,18926919893000,3544,245819,7000,2.6,2021-09-24,99.9309392449842,0.36496252196784,1.95231571111753,0.23132359766121,G2010,WICS 자본재,124006699,9274191,7.48,17.51,1,G20,산업재,2,18,34476546,G20,0.0037,big
091990,셀트리온헬스케어,115200,-4600,-3.84,KOSDAQ,유통,17858208268800,1574,12487,0,0,2021-09-24,74.2853921331115,9.23907510414403,,10.9721112489555,G3520,WICS 제약과생물공학,139968350,10893507,7.78,39.24,1,G35,건강관리,3,16,94561693,G35,0.1244,big
361610,SK아이이테크놀로지,217000,-3000,-1.36,KOSPI,전기전자,15471577464000,1521,19258,0,0,2021-09-24,175.41471047619,12.8044173334437,133.260787803618,32.9673502322608,G4535,WICS 전자와 전기제품,72412941,4022610,5.56,83.22,1,G45,IT,4,2,18537374,G45,0.073,big
011200,HMM,38050,200,0.53,KOSPI,운수창고업,15425184130350,103,5164,0,0,2021-09-24,124.497047056901,9.13543626316257,10.9514974301384,2.40518674166966,G2030,WICS 운송,41254793,12494399,30.29,30.29,1,G20,산업재,1,3,328367914,G20,0.0734,big
015760,한국전력,23800,-400,-1.65,KOSPI,전기가스업,15278745032600,3102,107945,1216,5.11,2021-09-24,7.67274897433837,0.216208248181607,1.15673581652724,0.260866102763735,G5510,WICS 유틸리티,11855265,6875435,57.99,57.99,1,G55,유틸리티,1,2,288883835,G55,0.0282,big
003550,LG,95200,-100,-0.1,KOSPI,기타금융,14975054533600,8338,115188,2500,2.63,2021-09-24,10.2169983854813,0.717838990551883,20.2612021831958,2.2579657323623,G2010,WICS 자본재,124006699,7936779,6.4,23.91,1,G20,산업재,3,18,83369526,G20,0.0703,big
032830,삼성생명,72400,600,0.84,KOSPI,보험,1.448e+13,7049,209474,2500,3.45,2021-09-24,11.4394059093064,0.332029369006618,4.96094285322735,,G4040,WICS 보험,24767325,6081600,24.55,53.4,1,G40,금융,2,3,8.4e+07,G40,0.029,big
086790,하나금융지주,44850,550,1.24,KOSPI,기타금융,13465856480700,8858,102296,1850,4.12,2021-09-24,5.10611879292431,0.426130653212153,,,G4010,WICS 은행,68713696,11984612,17.44,66.58,1,G40,금융,3,3,267215435,G40,0.0835,big
009150,삼성전기,178500,1500,0.85,KOSPI,전기전자,13332824736000,7993,74385,1400,0.78,2021-09-24,22.0742131390728,2.25582443421765,8.39545666897551,1.62423096665733,G4520,WICS 기술하드웨어와장비,44599486,9732962,21.82,21.82,1,G45,IT,1,24,54526398,G45,0.1022,big
036570,엔씨소프트,596000,12000,2.05,KOSPI,서비스업,13084597112000,28504,143098,8550,1.43,2021-09-24,22.2754462240381,4.16084113333545,18.4915165517241,5.41536177137654,G5020,WICS 미디어와엔터테인먼트,150344455,10729370,7.14,74.45,1,G50,커뮤니케이션서비스,4,3,18002298,G50,0.1868,big
018260,삼성에스디에스,164000,-1500,-0.91,KOSPI,서비스업,12689959200000,5733,86188,2400,1.46,2021-09-24,28.6132112739572,1.85009100319284,12.956870737186,1.15181069943907,G4510,WICS 소프트웨어와서비스,21315250,5456682,25.6,25.6,1,G45,IT,1,16,33272454,G45,0.0647,big
003670,포스코케미칼,162000,4000,2.53,KOSPI,비금속광물,12549041640000,455,15401,300,0.19,2021-09-24,423.954109459459,12.2597124267292,327.651217754569,8.01241325501213,G1510,WICS 소재,130796768,4392165,3.36,49.21,1,G15,소재,4,8,27112127,G15,0.0289,big
003490,대한항공,34250,50,0.15,KOSPI,운수창고업,11912863256250,,14181,0,0,2021-09-24,,3.59720483626234,8.65320204565265,1.56620431440798,G2030,WICS 운송,41254793,7743361,18.77,49.06,1,G20,산업재,2,3,226083536,G20,,big
010950,S-Oil,105000,1000,0.96,KOSPI,화학,11821193160000,,48733,0,0,2021-09-24,,2.0802803625165,7.24781922746781,0.702400705894936,G1010,WICS 에너지,25065943,4373841,17.45,68.89,1,G10,에너지,2,2,41655633,G10,,big
033780,KT&G,81100,200,0.25,KOSPI,기타제조업,11134421506700,9320,65822,4800,5.92,2021-09-24,9.50279210267133,1.22469328904703,8.82493580621384,2.10020022383809,G3020,"WICS 식품,음료,담배",30382851,8796193,28.95,28.95,1,G30,필수소비재,1,6,108461073,G30,0.1289,big
