종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
000660,SK하이닉스,104000,-1500,-1.42,KOSPI,전기전자,75712245960000,6952,71275,1170,1.13,2021-09-24,15.9223246535299,1.45855439527944,6.14816932421678,2.37339487780717,G4530,WICS 반도체와반도체장비,431176010,56027062,12.99,93.26,1,G45,IT,2,0,538721750,G45,0.0916,big
009830,한화솔루션,40750,-1350,-3.21,KOSPI,화학,7794598752750,1860,35699,0,0,2021-09-24,25.2170778154319,1.30613113138227,7.28807737517532,0.847699701223491,G1510,WICS 소재,130796768,4832651,3.69,45.85,1,G15,소재,3,8,118592668,G15,0.0518,big
021240,코웨이,76000,-1100,-1.43,KOSPI,서비스업,5608771044000,5584,20207,1200,1.58,2021-09-24,13.8522376981971,3.76427586845638,9.96583341151386,1.73249244578983,G2520,WICS 내구소비재와의류,49360418,4094403,8.29,45.08,1,G25,경기관련소비재,3,7,53873722,G25,0.2717,big
011070,LG이노텍,217000,1500,0.7,KOSPI,전기전자,5135762219000,9978,102576,700,0.32,2021-09-24,21.7524871622194,2.1154847052766,5.40435885404609,0.538238300844704,G4520,WICS 기술하드웨어와장비,44599486,3030100,6.79,28.62,1,G45,IT,2,24,13963593,G45,0.0973,big
000080,하이트진로,33400,-300,-0.89,KOSPI,음식료품,2342462607400,1246,15067,750,2.25,2021-09-24,27.0180231534025,2.18045481467002,6.11928580825496,1.03818756699021,G3020,"WICS 식품,음료,담배",30382851,1030684,3.39,60.43,1,G30,필수소비재,6,6,30858789,G30,0.0807,big
103140,풍산,34700,-50,-0.14,KOSPI,철강금속,972442446600,2567,51539,600,1.73,2021-09-24,13.5249297162726,0.672319169386062,8.49294713187773,0.374939253007403,G1510,WICS 소재,130796768,612639,0.47,82.46,1,G15,소재,26,8,17655295,G15,0.0497,big
195870,해성디에스,43250,-450,-1.03,KOSPI,전기전자,7.3525e+11,1764,13638,450,1.04,2021-09-24,24.5083333333333,3.17191544434858,16.5596846846847,1.60289949858295,G4530,WICS 반도체와반도체장비,431176010,426445,0.1,96.9,1,G45,IT,22,0,9860000,G45,0.1294,big
003100,선광,52700,-200,-0.38,KOSDAQ,운송,3.4782e+11,1152,45992,350,0.66,2021-09-24,51.15,1.13927284638061,6.26702702702703,2.2928147659855,G2030,WICS 운송,41254793,132172,0.32,100.27,1,G20,산업재,23,3,2508000,G20,0.0223,big
000140,하이트진로홀딩스,14250,100,0.71,KOSPI,기타금융,330696401250,3014,20817,400,2.81,2021-09-24,5.12707598837209,0.311860053989061,0.904530637992341,0.147172408210948,G3020,"WICS 식품,음료,담배",30382851,85981,0.28,93.46,1,G30,필수소비재,45,6,6033759,G30,0.0608,big
017890,한국알콜,13800,-200,-1.43,KOSDAQ,화학,298159488000,2478,17265,100,0.72,2021-09-24,5.84626447058824,0.782570834645669,4.82458718446602,0.802150895883777,G1510,WICS 소재,130796768,163988,0.13,92.2,1,G15,소재,75,8,11883168,G15,0.1339,big
001790,대한제당,3290,5,0.15,KOSPI,음식료품,295101748200,263,4974,180,5.47,2021-09-24,13.0575994778761,0.616593707062265,4.55403932407408,0.242982089913545,G3020,"WICS 식품,음료,담배",30382851,129845,0.43,88.28,1,G30,필수소비재,30,6,39466495,G30,0.0472,big
067900,와이엔텍,13100,200,1.55,KOSDAQ,기타서비스,238415532900,1203,8637,0,0,2021-09-24,10.8865540136986,1.51663825,7.09570038392857,2.24920314056604,G2030,WICS 운송,41254793,126360,0.31,100.58,1,G20,산업재,24,3,9645819,G20,0.1393,big
001070,대한방직,43600,-50,-0.11,KOSPI,섬유의복,2.3108e+11,746,25717,0,0,2021-09-24,85.5851851851852,1.6953778429934,53.7395348837209,1.3189497716895,G2520,WICS 내구소비재와의류,49360418,97054,0.2,91.55,1,G25,경기관련소비재,68,7,2226000,G25,0.0198,big
