종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
015760,한국전력,23800,-400,-1.65,KOSPI,전기가스업,15278745032600,3102,107945,1216,5.11,2021-09-24,7.67274897433837,0.216208248181607,1.15673581652724,0.260866102763735,G5510,WICS 유틸리티,11855265,6875435,57.99,57.99,1,G55,유틸리티,1,2,288883835,G55,0.0282,big
000880,한화,34650,-300,-0.86,KOSPI,화학,2597320167750,2831,46059,700,2.02,2021-09-24,12.1483637406455,0.140341065517744,0.754398956620872,0.0510013483697093,G4040,WICS 보험,24767325,1454499,5.87,77.15,1,G40,금융,5,3,41976892,G40,0.0116,big
001120,LX인터내셔널,28950,-300,-1.03,KOSPI,유통업,1.122102e+12,7932,34525,400,1.38,2021-09-24,3.77050403225806,0.638174372973895,4.40385400313972,0.0994542038182688,G2010,WICS 자본재,124006699,819134,0.66,73.85,1,G20,산업재,33,18,28294800,G20,0.1693,big
006120,SK디스커버리,48900,-750,-1.51,KOSPI,기타금융,930951109500,13096,95458,1000,2.04,2021-09-24,3.4867082752809,0.355813755350864,5.69737521113831,0.205985420843014,G1010,WICS 에너지,25065943,512023,2.04,90.83,1,G10,에너지,5,2,10470820,G10,0.102,big
003380,하림지주,9540,-20,-0.21,KOSDAQ,금융,880940962800,725,18343,50,0.52,2021-09-24,16.1049536160878,0.254997818276551,1.31424878830374,0.114062766278663,G3020,"WICS 식품,음료,담배",30382851,264282,0.87,80.19,1,G30,필수소비재,17,6,27702546,G30,0.0158,big
042670,두산인프라코어,9770,-220,-2.2,KOSPI,기계,776936661760,648,10098,0,0,2021-09-24,5.22134853333333,0.173075665350858,0.739376343509707,0.0979237294412725,G2010,WICS 자본재,124006699,497239,0.4,78.73,1,G20,산업재,43,18,50894520,G20,0.0331,big
009970,영원무역홀딩스,47500,-400,-0.84,KOSPI,기타금융,647690620000,9036,100526,1200,2.53,2021-09-24,6.17436244041945,0.247484093080127,1.44994542198343,0.227180154331813,G2520,WICS 내구소비재와의류,49360418,252599,0.51,79.45,1,G25,경기관련소비재,26,7,5317881,G25,0.0401,big
002020,코오롱,40300,-1650,-3.93,KOSPI,기타금융,508844967800,10889,52610,500,1.24,2021-09-24,3.40820474079036,0.592368996274738,1.52760422635845,0.10405401983559,G1510,WICS 소재,130796768,239157,0.18,88.77,1,G15,소재,52,8,5934420,G15,0.1738,big
001390,KG케미칼,34150,950,2.86,KOSPI,화학,473527178400,3358,29370,400,1.17,2021-09-24,10.9612772777778,0.314072546527824,1.52603022365453,0.128452468098958,G1010,WICS 에너지,25065943,265175,1.06,93.5,1,G10,에너지,7,2,7765014,G10,0.0287,big
009410,태영건설,11500,0,0,KOSPI,건설업,447339627000,9514,15974,325,2.83,2021-09-24,0.803411686422414,0.691619707792208,0.470487617795541,0.19607259566075,G2010,WICS 자본재,124006699,134202,0.11,89.66,1,G20,산업재,105,18,11669729,G20,0.8609,big
017940,E1,60300,-1200,-1.95,KOSPI,유통업,4.13658e+11,10427,172701,2200,3.65,2021-09-24,6.86,0.332656212303981,2.3624100513992,0.10532080659945,G5510,WICS 유틸리티,11855265,227512,1.92,92.19,1,G55,유틸리티,7,2,3773000,G55,0.0485,big
003300,한일홀딩스,14300,-50,-0.35,KOSPI,비금속광물,412065654000,1677,46221,510,3.57,2021-09-24,8.39237584521385,0.22598752550181,1.64366036697248,0.268726786226686,G2010,WICS 자본재,124006699,140102,0.11,89.01,1,G20,산업재,99,18,9797365,G20,0.0269,big
004690,삼천리,94900,-2000,-2.06,KOSPI,전기가스업,384821872500,9248,317378,3000,3.16,2021-09-24,12.025683515625,0.276691021354616,3.83670859920239,0.11974045444645,G5510,WICS 유틸리티,11855265,173170,1.46,97.02,1,G55,유틸리티,10,2,1824761,G55,0.023,big
084690,대상홀딩스,10500,0,0,KOSPI,기타금융,380231649000,2360,17589,220,2.1,2021-09-24,4.34054393835616,0.286750866515837,2.63500796257796,0.101278973177423,G3020,"WICS 식품,음료,담배",30382851,125476,0.41,89.11,1,G30,필수소비재,32,6,11950138,G30,0.0661,big
013580,계룡건설,39000,-500,-1.27,KOSPI,건설업,348305373000,10992,61926,600,1.54,2021-09-24,3.70143860786397,0.574761341584158,1.79724134674923,0.158320624090909,G2010,WICS 자본재,124006699,195051,0.16,84.9,1,G20,산업재,68,18,5001308,G20,0.1553,big
016450,한세예스24홀딩스,8550,-110,-1.27,KOSPI,섬유의복,3.42e+11,1385,9208,250,2.92,2021-09-24,6.28676470588235,0.458567980691875,3.10626702997275,0.122234533042639,G2520,WICS 내구소비재와의류,49360418,64980,0.13,95.55,1,G25,경기관련소비재,93,7,7600000,G25,0.0729,big
000140,하이트진로홀딩스,14250,100,0.71,KOSPI,기타금융,330696401250,3014,20817,400,2.81,2021-09-24,5.12707598837209,0.311860053989061,0.904530637992341,0.147172408210948,G3020,"WICS 식품,음료,담배",30382851,85981,0.28,93.46,1,G30,필수소비재,45,6,6033759,G30,0.0608,big
002030,아세아,146500,1500,1.03,KOSPI,서비스업,320985016000,22188,369251,2000,1.37,2021-09-24,7.64250038095238,0.21012373396177,1.68496071391076,0.210192532250671,G1510,WICS 소재,130796768,141233,0.11,93.48,1,G15,소재,86,8,964051,G15,0.0275,big
