종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
033780,KT&G,81100,200,0.25,KOSPI,기타제조업,11134421506700,9320,65822,4800,5.92,2021-09-24,9.50279210267133,1.22469328904703,8.82493580621384,2.10020022383809,G3020,"WICS 식품,음료,담배",30382851,8796193,28.95,28.95,1,G30,필수소비재,1,6,108461073,G30,0.1289,big
012750,에스원,85900,400,0.47,KOSPI,서비스업,3264129390200,4203,36426,2500,2.91,2021-09-24,22.9706501773399,2.35813422207773,9.42300632274827,1.46814617469527,G2020,WICS 상업서비스와공급품,5444111,2056402,37.77,37.77,1,G20,산업재,1,4,23939482,G20,0.1027,big
007310,오뚜기,502000,-3000,-0.59,KOSPI,음식료품,1843334462000,31296,381649,8000,1.59,2021-09-24,17.3408698212606,1.27840658991608,20.0362441521739,0.710094557571555,G3020,"WICS 식품,음료,담배",30382851,626734,2.06,71.28,1,G30,필수소비재,10,6,1248474,G30,0.0737,big
034310,NICE,17950,-150,-0.83,KOSPI,서비스업,679987285000,447,18634,270,1.5,2021-09-24,40.2359340236686,0.54416396046735,2.19847166181701,0.330813566042325,G2020,WICS 상업서비스와공급품,5444111,346794,6.37,57.18,1,G20,산업재,3,4,19319973,G20,0.0135,big
267980,매일유업,72900,-200,-0.27,KOSDAQ,음식료·담배,571801210200,7498,56113,800,1.1,2021-09-24,9.90989965684575,1.2992529202454,9.13420463578275,0.390814852163215,G3020,"WICS 식품,음료,담배",30382851,240157,0.79,81.8,1,G30,필수소비재,19,6,3294328,G30,0.1311,big
005180,빙그레,56700,200,0.35,KOSPI,음식료품,558565364700,3944,59843,1600,2.82,2021-09-24,16.004738243553,0.94752394351145,7.80119224441341,0.5823849074132,G3020,"WICS 식품,음료,담배",30382851,273697,0.9,79.32,1,G30,필수소비재,16,6,4827108,G30,0.0592,big
002960,한국쉘석유,277000,1000,0.36,KOSPI,화학,3.601e+11,16162,75474,14000,5.05,2021-09-24,17.14,3.67074413863405,8.47294117647059,1.79780329505741,G1010,WICS 에너지,25065943,165646,0.66,95.02,1,G10,에너지,9,2,598000,G10,0.2142,big
000480,조선내화,89900,400,0.45,KOSPI,비금속광물,3.596e+11,10421,154303,4200,4.67,2021-09-24,10.702380952381,0.490854490854491,3.82146652497343,0.509926262053318,G1510,WICS 소재,130796768,75516,0.06,96.89,1,G15,소재,129,8,840000,G15,0.0459,big
072710,농심홀딩스,75200,-200,-0.27,KOSPI,기타금융,348761808000,14746,209586,2000,2.66,2021-09-24,5.09885684210526,0.358255580893683,10.4419702994012,0.597604194653873,G3020,"WICS 식품,음료,담배",30382851,115091,0.38,90.27,1,G30,필수소비재,35,6,1530471,G30,0.0703,big
002810,삼영무역,15400,50,0.33,KOSPI,유통업,284390999200,1600,20537,500,3.25,2021-09-24,10.0847872056738,0.675032041775457,15.4560325652174,0.724747704383282,G1510,WICS 소재,130796768,156415,0.12,92.56,1,G15,소재,78,8,10156821,G15,0.0669,big
004890,동일산업,114000,-1000,-0.87,KOSPI,철강금속,276474510000,3700,148639,1800,1.58,2021-09-24,34.55931375,0.766919583911235,13.7549507462687,0.829506480648065,G1510,WICS 소재,130796768,124414,0.1,94.39,1,G15,소재,95,8,1091347,G15,0.0222,big
092130,이크레더블,20600,50,0.24,KOSDAQ,기타서비스,248098160000,1084,4804,700,3.4,2021-09-24,18.9387908396947,4.28494231433506,14.5086643274854,5.78317389277389,G2020,WICS 상업서비스와공급품,5444111,79391,1.46,93.31,1,G20,산업재,14,4,3853952,G20,0.2263,big
