종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
137310,에스디바이오센서,49350,-550,-1.1,KOSPI,의료정밀,5096441270550,6597,8016,535,1.08,2021-09-24,8.27881947782651,6.72708721033527,10.2875277968308,3.02244174507769,G3510,WICS 건강관리장비와서비스,17087092,1783754,10.44,21.62,1,G35,건강관리,2,16,36144974,G35,0.8126,big
096530,씨젠,66200,1400,2.16,KOSDAQ,제약,3457360802800,9712,12362,1500,2.27,2021-09-24,6.88305953175393,5.34863985581683,9.02234029958246,3.07266335122645,G3520,WICS 제약과생물공학,139968350,2281858,1.63,50.45,1,G35,건강관리,8,16,34469156,G35,0.7771,big
036830,솔브레인홀딩스,40150,2500,6.64,KOSDAQ,기타서비스,841706848400,106557,49397,0,0,2021-09-24,0.583424723365911,0.812379932825017,11.8717468039492,3.57109396860416,G4530,WICS 반도체와반도체장비,431176010,446105,0.1,96.7,1,G45,IT,20,0,11110950,G45,1.3924,big
206640,바디텍메드,19750,-550,-2.71,KOSDAQ,제약,463859560000,1978,5103,200,1.01,2021-09-24,10.1947156043956,3.67850563045202,10.4004385650224,3.21901151977793,G3520,WICS 제약과생물공학,139968350,324702,0.23,86.7,1,G35,건강관리,75,16,16440592,G35,0.3608,big
035890,서희건설,1980,5,0.25,KOSDAQ,건설,455020744860,632,2260,40,2.02,2021-09-24,3.64599955817308,0.842787080681608,1.92723737763659,0.355957713259798,G2010,WICS 자본재,124006699,213860,0.17,83.75,1,G20,산업재,61,18,108009975,G20,0.2312,big
009410,태영건설,11500,0,0,KOSPI,건설업,447339627000,9514,15974,325,2.83,2021-09-24,0.803411686422414,0.691619707792208,0.470487617795541,0.19607259566075,G2010,WICS 자본재,124006699,134202,0.11,89.66,1,G20,산업재,105,18,11669729,G20,0.8609,big
024720,한국콜마홀딩스,22700,-250,-1.09,KOSPI,기타금융,421691521300,6123,29717,205,0.9,2021-09-24,3.7284838311229,0.53541330789741,5.06232318487395,0.624265760621762,G2520,WICS 내구소비재와의류,49360418,227713,0.46,80.41,1,G25,경기관련소비재,28,7,10031428,G25,0.1436,big
034810,해성산업,15150,-300,-1.94,KOSDAQ,금융,399297914700,25651,33305,175,1.16,2021-09-24,1.15671470075319,0.585738469561391,8.45970158262712,0.832911795369211,G1510,WICS 소재,130796768,203642,0.16,90.26,1,G15,소재,61,8,13441712,G15,0.5064,big
068290,삼성출판사,37150,800,2.2,KOSPI,서비스업,3.715e+11,5322,14285,200,0.54,2021-09-24,6.98308270676692,2.13874496257916,13.7084870848708,2.22321962896469,G2520,WICS 내구소비재와의류,49360418,122595,0.25,87.65,1,G25,경기관련소비재,50,7,3300000,G25,0.3063,big
084650,랩지노믹스,31600,-1100,-3.36,KOSDAQ,기타서비스,361823065200,3896,7122,0,0,2021-09-24,8.45380993457944,4.43410619117647,7.79791088793104,3.02780807698745,G3520,WICS 제약과생물공학,139968350,300313,0.21,87.59,1,G35,건강관리,79,16,9503581,G35,0.5245,big
038290,마크로젠,31400,-150,-0.48,KOSDAQ,기타서비스,336468301400,9002,18637,300,0.96,2021-09-24,3.8105130396376,1.69505441511335,16.3334126893204,2.98817319182949,G3520,WICS 제약과생물공학,139968350,282633,0.2,87.99,1,G35,건강관리,81,16,9001063,G35,0.4448,big
031980,피에스케이홀딩스,11500,-150,-1.29,KOSDAQ,반도체,247967542500,3075,9160,200,1.74,2021-09-24,4.18864092060811,1.25553186075949,25.3028104591837,6.2303402638191,G4530,WICS 반도체와반도체장비,431176010,183496,0.04,98.6,1,G45,IT,47,0,15956172,G45,0.2997,big
187870,디바이스이엔지,31100,-1300,-4.01,KOSDAQ,반도체,218838539900,4399,14043,600,1.93,2021-09-24,7.19863618092105,2.21496497874494,6.09578105571031,1.73406133042789,G4540,WICS 디스플레이,17095003,135680,0.79,72.72,1,G45,IT,21,10,4362698,G45,0.3077,big
352700,씨앤투스성진,20100,100,0.5,KOSDAQ,섬유·의류,200910173100,4959,9332,0,0,2021-09-24,6.25888389719626,2.73719581880109,2.68596488101604,1.27238868334389,G2520,WICS 내구소비재와의류,49360418,112510,0.23,88.83,1,G25,경기관련소비재,55,7,5597497,G25,0.4373,big
058110,멕아이씨에스,11350,50,0.44,KOSDAQ,의료·정밀기기,182173515500,1858,2674,144,1.27,2021-09-24,7.52783121900827,4.60034130050505,52.0495758571429,2.67508833333333,G3510,WICS 건강관리장비와서비스,17087092,125700,0.74,79.59,1,G35,건강관리,35,16,11074866,G35,0.6111,big
000700,유수홀딩스,6000,20,0.33,KOSPI,서비스업,156250872000,3202,11744,500,8.33,2021-09-24,1.9531359,0.402397301055885,6.07980046692607,0.466699139784946,G2030,WICS 운송,41254793,76563,0.19,101.16,1,G20,산업재,27,3,12760488,G20,0.206,small
263690,디알젬,12650,500,4.12,KOSDAQ,의료·정밀기기,143268966500,1786,4638,200,1.58,2021-09-24,7.163448325,2.7289326952381,14.1850461881188,1.34398655253283,G3510,WICS 건강관리장비와서비스,17087092,75933,0.44,92.07,1,G35,건강관리,56,16,6002573,G35,0.381,small
016250,SGC이테크건설,70100,-400,-0.57,KOSDAQ,건설,141899714700,56262,69879,1500,2.14,2021-09-24,0.811783264874142,1.03049901742919,2.12107196860987,0.124933716059165,G2010,WICS 자본재,124006699,63855,0.05,96.65,1,G20,산업재,197,18,910911,G20,1.2694,small
229000,젠큐릭스,20050,450,2.3,KOSDAQ,제약,131496341050,5605,8342,0,0,2021-09-24,3.97269912537764,2.43963526994434,,82.18521315625,G3510,WICS 건강관리장비와서비스,17087092,105197,0.62,86.93,1,G35,건강관리,46,16,5246737,G35,0.6141,small
137940,넥스트아이,1585,55,3.59,KOSDAQ,의료·정밀기기,122229134205,570,1528,17,1.07,2021-09-24,2.84916396748252,1.01350857549751,,3.51233144267241,G4540,WICS 디스플레이,17095003,83116,0.49,86.55,1,G45,IT,44,10,52438998,G45,0.3557,small
090710,휴림로봇,952,-9,-0.94,KOSDAQ,기계·장비,119333111464,473,789,0,0,2021-09-24,3.04421202714286,1.62137379706522,,5.76488461178744,G2010,WICS 자본재,124006699,103820,0.08,92.43,1,G20,산업재,134,18,109054419,G20,0.5326,small
046940,우원개발,6260,230,3.81,KOSDAQ,건설,113145431000,929,5591,0,0,2021-09-24,6.73484708333333,1.12025179207921,1.59359761971831,0.357715558014543,G2010,WICS 자본재,124006699,71282,0.06,96,1,G20,산업재,185,18,11386841,G20,0.1663,small
000440,중앙에너비스,17450,-300,-1.69,KOSDAQ,유통,108663418500,4144,9893,480,2.75,2021-09-24,5.659553046875,1.76401653409091,43.4653674,2.02730258395522,G1010,WICS 에너지,25065943,27166,0.11,100.74,1,G10,에너지,28,2,1556783,G10,0.3117,small
238490,힘스,9400,-290,-2.99,KOSDAQ,반도체,106335018400,1522,6872,150,1.6,2021-09-24,6.18226851162791,1.36853305534106,3.23206742857143,1.00127135969868,G4540,WICS 디스플레이,17095003,66991,0.39,92.15,1,G45,IT,57,10,7126709,G45,0.2214,small
083550,케이엠,8910,90,1.02,KOSDAQ,섬유·의류,95828065740,3318,10738,100,1.12,2021-09-24,2.93052188807339,0.82824603059637,3.25945801836735,0.509995027887174,G2520,WICS 내구소비재와의류,49360418,56539,0.11,96.78,1,G25,경기관련소비재,103,7,6345517,G25,0.2826,small
032940,원익,4955,-85,-1.69,KOSDAQ,유통,90147454650,4368,10289,0,0,2021-09-24,1.1353583709068,0.479252815789474,11.1293153888889,1.03025662457143,G3510,WICS 건강관리장비와서비스,17087092,48680,0.28,97.25,1,G35,건강관리,70,16,9824344,G35,0.4221,small
002870,신풍제지,2575,-25,-0.96,KOSPI,종이목재,90018652500,1189,2884,50,1.94,2021-09-24,2.72783795454545,0.896600124501992,,2.66327374260355,G1510,WICS 소재,130796768,39608,0.03,99.15,1,G15,소재,184,8,15381828,G15,0.3287,small
037350,성도이엔지,5780,-10,-0.17,KOSDAQ,기타서비스,89416600000,6074,14797,200,3.46,2021-09-24,1.00130571108623,0.391662724485326,,0.166356465116279,G4530,WICS 반도체와반도체장비,431176010,55438,0.01,99.84,1,G45,IT,98,0,9591400,G45,0.3912,small
016100,리더스코스메틱,4090,-105,-2.5,KOSDAQ,화학,78122656460,1313,3725,0,0,2021-09-24,3.44152671629956,1.14047673664234,,0.833753003842049,G2520,WICS 내구소비재와의류,49360418,50780,0.1,97.54,1,G25,경기관련소비재,110,7,12415581,G25,0.3314,small
007120,미래아이앤지,563,3,0.54,KOSPI,서비스업,72899575324,153,691,0,0,2021-09-24,3.70048605705584,0.814520394681564,24.2998584413333,12.5688922972414,G4510,WICS 소프트웨어와서비스,21315250,54675,0.26,92.29,1,G45,IT,76,16,97113111,G45,0.2201,small
