종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
011200,HMM,38050,200,0.53,KOSPI,운수창고업,15425184130350,103,5164,0,0,2021-09-24,124.497047056901,9.13543626316257,10.9514974301384,2.40518674166966,G2030,WICS 운송,41254793,12494399,30.29,30.29,1,G20,산업재,1,3,328367914,G20,0.0734,big
247540,에코프로비엠,470600,600,0.13,KOSDAQ,일반전기전자,10315300699600,2256,21088,450,0.1,2021-09-24,219.942445620469,22.074257863471,82.5224055968,12.0689138874459,G4535,WICS 전자와 전기제품,72412941,4229273,5.84,77.66,1,G45,IT,3,2,8986981,G45,0.1004,big
066970,엘앤에프,190400,31300,19.67,KOSDAQ,IT부품,6583790001600,,6665,50,0.03,2021-09-24,,33.3187753117409,145.337527629139,18.4885987127211,G4535,WICS 전자와 전기제품,72412941,3686922,5.09,88.31,1,G45,IT,5,2,19364088,G45,,big
138040,메리츠금융지주,33900,-800,-2.31,KOSPI,기타금융,4542982866600,3596,24992,900,2.65,2021-09-24,9.27707344619155,0.660576514998619,,,G4040,WICS 보험,24767325,1317465,5.32,88.24,1,G40,금융,7,3,38863275,G40,0.0712,big
002380,KCC,455000,11500,2.59,KOSPI,화학,4043344305000,72945,548119,5700,1.25,2021-09-24,6.77958468309859,0.770748056614563,5.94696912045889,0.795370270084192,G2010,WICS 자본재,124006699,2183406,1.76,51.63,1,G20,산업재,12,18,4798694,G20,0.1137,big
298050,효성첨단소재,860000,61000,7.63,KOSPI,화학,3852755280000,18,69831,0,0,2021-09-24,38527.5528,10.109565153503,12.3327633802817,1.60893480330744,G1510,WICS 소재,130796768,2119015,1.62,71.71,1,G15,소재,13,8,2463971,G15,3e-04,big
298020,효성티앤씨,713000,1000,0.14,KOSPI,화학,3085637266000,31698,138867,5000,0.7,2021-09-24,22.5558279678363,4.31316363712608,5.46323878541076,0.597806351906386,G2520,WICS 내구소비재와의류,49360418,1727957,3.5,57.76,1,G25,경기관련소비재,6,7,2423502,G25,0.1912,big
120110,코오롱인더,111500,500,0.45,KOSPI,화학,3008140660000,6834,73257,1000,0.9,2021-09-24,14.7892854473943,1.31245229493892,6.02109819855885,0.745308753499666,G1510,WICS 소재,130796768,1895129,1.45,73.15,1,G15,소재,14,8,16996669,G15,0.0887,big
256840,한국비엔씨,54500,1700,3.22,KOSDAQ,제약,2808474162000,29,718,0,0,2021-09-24,1879.31,75.9047070810811,720.12158,144.766709381443,G3510,WICS 건강관리장비와서비스,17087092,1909762,11.18,11.18,1,G35,건강관리,1,16,35041512,G35,0.0404,big
048260,오스템임플란트,148300,2300,1.58,KOSDAQ,의료·정밀기기,2118571831100,7865,13417,630,0.42,2021-09-24,19.7997367392523,11.2391078572944,19.7997367392523,3.35429358945535,G3510,WICS 건강관리장비와서비스,17087092,1610115,9.42,31.04,1,G35,건강관리,3,16,10857145,G35,0.5676,big
194480,데브시스터즈,162700,-14500,-8.18,KOSDAQ,디지털컨텐츠,1864118980000,,9149,0,0,2021-09-24,,18.6972816449348,,26.4414039716312,G5020,WICS 미디어와엔터테인먼트,150344455,1174395,0.78,86.14,1,G50,커뮤니케이션서비스,13,3,7218162,G50,,big
034120,SBS,57000,300,0.53,KOSPI,서비스업,1040397174000,,28014,0,0,2021-09-24,,1.83491565079365,15.6450702857143,1.20934229222364,G5020,WICS 미디어와엔터테인먼트,150344455,624238,0.42,90.67,1,G50,커뮤니케이션서비스,21,3,10951549,G50,,big
