종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
030200,KT,32450,-50,-0.15,KOSPI,통신업,8473078169600,2684,53661,1350,4.16,2021-09-24,12.8770184948328,0.544843433362913,1.78764466213764,0.354274551656374,G5010,WICS 전기통신서비스,21038312,4406001,20.94,75.89,1,G50,커뮤니케이션서비스,2,2,135778140,G50,0.0423,big
002380,KCC,455000,11500,2.59,KOSPI,화학,4043344305000,72945,548119,5700,1.25,2021-09-24,6.77958468309859,0.770748056614563,5.94696912045889,0.795370270084192,G2010,WICS 자본재,124006699,2183406,1.76,51.63,1,G20,산업재,12,18,4798694,G20,0.1137,big
120110,코오롱인더,111500,500,0.45,KOSPI,화학,3008140660000,6834,73257,1000,0.9,2021-09-24,14.7892854473943,1.31245229493892,6.02109819855885,0.745308753499666,G1510,WICS 소재,130796768,1895129,1.45,73.15,1,G15,소재,14,8,16996669,G15,0.0887,big
014830,유니드,138500,500,0.36,KOSPI,화학,1231243255500,8773,88230,1400,1.01,2021-09-24,16.0109656111834,1.57447986636829,7.7976140310323,1.38264262268389,G1510,WICS 소재,130796768,664871,0.51,81.99,1,G15,소재,25,8,4800515,G15,0.0983,big
222800,심텍,29950,1000,3.45,KOSDAQ,반도체,954031582850,1964,8840,320,1.07,2021-09-24,16.8556816757951,3.30916261827957,4.42706070928074,0.794099869194273,G4520,WICS 기술하드웨어와장비,44599486,562879,1.26,46.21,1,G45,IT,10,24,18793944,G45,0.1963,big
003070,코오롱글로벌,29850,-950,-3.08,KOSPI,건설업,752531574300,3249,18560,400,1.34,2021-09-24,9.11055174697337,1.54746365268353,2.49513121452255,0.191571603864365,G2010,WICS 자본재,124006699,173082,0.14,86.52,1,G20,산업재,79,18,5798401,G20,0.1699,big
009970,영원무역홀딩스,47500,-400,-0.84,KOSPI,기타금융,647690620000,9036,100526,1200,2.53,2021-09-24,6.17436244041945,0.247484093080127,1.44994542198343,0.227180154331813,G2520,WICS 내구소비재와의류,49360418,252599,0.51,79.45,1,G25,경기관련소비재,26,7,5317881,G25,0.0401,big
084010,대한제강,22000,-150,-0.68,KOSPI,철강금속,542228148000,2232,20068,300,1.36,2021-09-24,11.1340482135524,0.988745711159737,2.73714360424028,0.494688575859867,G1510,WICS 소재,130796768,244003,0.19,88.41,1,G15,소재,50,8,11091030,G15,0.0888,big
003030,세아제강지주,130000,-2000,-1.52,KOSPI,기타금융,538415410000,4227,235619,1500,1.15,2021-09-24,31.4862812865497,0.404610663560532,2.00303351934524,0.233444073014221,G1510,WICS 소재,130796768,199214,0.15,90.42,1,G15,소재,62,8,1532413,G15,0.0129,big
110790,크리스에프앤씨,43900,-150,-0.34,KOSDAQ,섬유·의류,514309572000,3486,20508,740,1.69,2021-09-24,13.2896530232558,2.14117223980017,8.26864263665595,1.75892466484268,G2520,WICS 내구소비재와의류,49360418,262298,0.53,78.93,1,G25,경기관련소비재,25,7,5974895,G25,0.1611,big
033160,엠케이전자,23400,1000,4.46,KOSDAQ,반도체,510299922600,1325,16151,140,0.6,2021-09-24,18.4223798772563,0.556003402266289,1.54402397155825,0.582667187257365,G4530,WICS 반도체와반도체장비,431176010,316386,0.07,97.9,1,G45,IT,34,0,13520767,G45,0.0302,big
002020,코오롱,40300,-1650,-3.93,KOSPI,기타금융,508844967800,10889,52610,500,1.24,2021-09-24,3.40820474079036,0.592368996274738,1.52760422635845,0.10405401983559,G1510,WICS 소재,130796768,239157,0.18,88.77,1,G15,소재,52,8,5934420,G15,0.1738,big
