종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
259960,크래프톤,493000,-7000,-1.4,KOSPI,서비스업,24133062385000,13771,28377,0,0,2021-09-24,43.3813812421355,19.8773267317354,37.1849959707242,14.4474750868056,G5020,WICS 미디어와엔터테인먼트,150344455,12549192,8.35,67.31,1,G50,커뮤니케이션서비스,3,3,25454751,G50,0.4582,big
021240,코웨이,76000,-1100,-1.43,KOSPI,서비스업,5608771044000,5584,20207,1200,1.58,2021-09-24,13.8522376981971,3.76427586845638,9.96583341151386,1.73249244578983,G2520,WICS 내구소비재와의류,49360418,4094403,8.29,45.08,1,G25,경기관련소비재,3,7,53873722,G25,0.2717,big
137310,에스디바이오센서,49350,-550,-1.1,KOSPI,의료정밀,5096441270550,6597,8016,535,1.08,2021-09-24,8.27881947782651,6.72708721033527,10.2875277968308,3.02244174507769,G3510,WICS 건강관리장비와서비스,17087092,1783754,10.44,21.62,1,G35,건강관리,2,16,36144974,G35,0.8126,big
096530,씨젠,66200,1400,2.16,KOSDAQ,제약,3457360802800,9712,12362,1500,2.27,2021-09-24,6.88305953175393,5.34863985581683,9.02234029958246,3.07266335122645,G3520,WICS 제약과생물공학,139968350,2281858,1.63,50.45,1,G35,건강관리,8,16,34469156,G35,0.7771,big
064550,바이오니아,78900,7900,11.13,KOSDAQ,제약,1989193583100,2509,5775,0,0,2021-09-24,34.3556750103627,13.4404971831081,20.7857218714734,9.60963083623188,G3520,WICS 제약과생물공학,139968350,1591355,1.14,58.17,1,G35,건강관리,14,16,20169263,G35,0.3912,big
067160,아프리카TV,156600,6800,4.54,KOSDAQ,소프트웨어,1800080512200,3365,12758,650,0.42,2021-09-24,49.1825276557377,12.1956674268293,24.8973791452282,9.15605550457782,G5020,WICS 미디어와엔터테인먼트,150344455,1242056,0.83,85.36,1,G50,커뮤니케이션서비스,12,3,7931389,G50,0.248,big
214150,클래시스,21700,1400,6.9,KOSDAQ,의료·정밀기기,1404355948800,590,1913,60,0.28,2021-09-24,36.7632447329843,11.3437475670436,36.8597361889764,18.3575941019608,G3510,WICS 건강관리장비와서비스,17087092,154479,0.9,74.87,1,G35,건강관리,29,16,7118855,G35,0.3086,big
030190,NICE평가정보,21650,150,0.7,KOSDAQ,기타서비스,1314475853000,789,4263,275,1.27,2021-09-24,27.8490646822034,5.07911844281298,17.5732065909091,2.94725527578475,G2020,WICS 상업서비스와공급품,5444111,709817,13.04,50.81,1,G20,산업재,2,4,32786003,G20,0.1824,big
069080,웹젠,27400,950,3.59,KOSDAQ,디지털컨텐츠,967518221600,2802,12300,0,0,2021-09-24,11.2241092993039,2.22571479549114,7.14562940620384,3.28975933900034,G5020,WICS 미디어와엔터테인먼트,150344455,590186,0.39,91.47,1,G50,커뮤니케이션서비스,23,3,21539639,G50,0.1983,big
230360,에코마케팅,21500,-250,-1.15,KOSDAQ,기타서비스,703760123500,1635,4452,930,4.33,2021-09-24,13.2784928962264,4.71373157066309,13.7722137671233,3.97604589548023,G5020,WICS 미디어와엔터테인먼트,150344455,288542,0.19,93.63,1,G50,커뮤니케이션서비스,31,3,13420542,G50,0.355,big
