종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
005930,삼성전자,77300,-100,-0.13,KOSPI,전기전자,461464191115000,3841,39406,2994,3.87,2021-09-24,17.686854796135,1.67228677546132,7.0682400955014,1.9486932021224
000660,SK하이닉스,104000,-1500,-1.42,KOSPI,전기전자,75712245960000,6952,71275,1170,1.13,2021-09-24,15.9223246535299,1.45855439527944,6.14816932421678,2.37339487780717
035420,NAVER,405500,5500,1.38,KOSPI,서비스업,66608806672500,6877,44850,402,0.1,2021-09-24,66.4692213077537,8.06880675854926,46.0259858157131,12.5579847047567
207940,삼성바이오로직스,922000,2000,0.22,KOSPI,의약품,6.100413e+13,3642,69505,0,0,2021-09-24,253.129170124481,13.2652278855354,301.851212271153,52.3730511675824
051910,LG화학,761000,1000,0.13,KOSPI,화학,53720773023000,6666,230440,10000,1.31,2021-09-24,104.800571640655,2.85894781500128,9.19750257207917,1.78613778275398
035720,카카오,119500,4500,3.91,KOSPI,서비스업,53176565510000,369,14286,30,0.03,2021-09-24,341.751706362468,7.15922365065902,54.7591036041602,12.7926687620285
006400,삼성SDI,726000,-5000,-0.68,KOSPI,전기전자,49923048780000,8593,184387,1000,0.14,2021-09-24,86.8680159735514,3.73706284050334,25.6173279864532,4.42000290222049
005380,현대차,207000,-1500,-0.72,KOSPI,운수장비,44229314709000,5454,250888,3000,1.45,2021-09-24,31.0511897704297,0.579365147286517,,0.425291686625461
068270,셀트리온,274500,-10000,-3.51,KOSPI,의약품,37863079542000,3756,24262,0,0,2021-09-24,74.0525709798553,10.958288823223,107.964298665526,20.4764910183332
000270,기아,82600,-1600,-1.9,KOSPI,운수장비,33483012462200,3710,73740,1000,1.21,2021-09-24,22.508075061979,1.12014413573668,6.17323557997013,0.565896360745064
323410,카카오뱅크,69000,2600,3.92,KOSPI,은행,32781916353000,309,6861,0,0,2021-09-24,223.3,11.7203848240972,193.975836408284,
005490,POSCO,345000,-1500,-0.43,KOSPI,철강금속,30079458075000,20165,508464,8000,2.32,2021-09-24,18.7750190843268,0.630932573634598,3.46310119794605,0.520470682766712
012330,현대모비스,260000,-3000,-1.14,KOSPI,운수장비,24646204440000,16389,349812,4000,1.54,2021-09-24,16.1181115950559,0.739502235050903,9.95122721363104,0.672906350320123
259960,크래프톤,493000,-7000,-1.4,KOSPI,서비스업,24133062385000,13771,28377,0,0,2021-09-24,43.3813812421355,19.8773267317354,37.1849959707242,14.4474750868056
028260,삼성물산,128000,-2500,-1.92,KOSPI,유통업,23921546368000,6278,160189,2300,1.8,2021-09-24,23.1014450680831,0.726094500553945,18.8670607839735,0.791682128666506
096770,SK이노베이션,249000,3500,1.43,KOSPI,화학,23023925436000,,155153,0,0,2021-09-24,,1.48940229880001,8.07630329591694,0.673913724363008
066570,LG전자,139500,-1000,-0.71,KOSPI,전기전자,22828870053000,10926,85368,1200,0.86,2021-09-24,11.598267567444,1.30137612104594,4.93213283779113,0.360862287834719
017670,SK텔레콤,308500,-1500,-0.48,KOSPI,통신업,22230554115500,20463,294058,10000,3.24,2021-09-24,14.7770234748072,0.911230196321558,3.81843626917329,1.19360602401649
105560,KB금융,53000,1500,2.91,KOSPI,기타금융,22037819760000,8809,102219,1770,3.34,2021-09-24,6.37816038434823,0.508234718817384,,
302440,SK바이오사이언스,274500,15500,5.98,KOSPI,의약품,2.099925e+13,537,4310,0,0,2021-09-24,511.17,79.6029188779378,174.702579034942,93.0817819148936
051900,LG생활건강,1339000,2000,0.15,KOSPI,화학,20912765783000,47596,268428,11000,0.82,2021-09-24,26.2196160769809,4.31262183102367,20.812864035629,2.66591443469947
055550,신한지주,39650,700,1.8,KOSPI,기타금융,20483172316100,6654,82515,1500,3.78,2021-09-24,5.99870330817665,0.441858112084717,,
034730,SK,269000,-2500,-0.92,KOSPI,기타금융,18926919893000,3544,245819,7000,2.6,2021-09-24,99.9309392449842,0.36496252196784,1.95231571111753,0.23132359766121
091990,셀트리온헬스케어,115200,-4600,-3.84,KOSDAQ,유통,17858208268800,1574,12487,0,0,2021-09-24,74.2853921331115,9.23907510414403,,10.9721112489555
361610,SK아이이테크놀로지,217000,-3000,-1.36,KOSPI,전기전자,15471577464000,1521,19258,0,0,2021-09-24,175.41471047619,12.8044173334437,133.260787803618,32.9673502322608
011200,HMM,38050,200,0.53,KOSPI,운수창고업,15425184130350,103,5164,0,0,2021-09-24,124.497047056901,9.13543626316257,10.9514974301384,2.40518674166966
015760,한국전력,23800,-400,-1.65,KOSPI,전기가스업,15278745032600,3102,107945,1216,5.11,2021-09-24,7.67274897433837,0.216208248181607,1.15673581652724,0.260866102763735
003550,LG,95200,-100,-0.1,KOSPI,기타금융,14975054533600,8338,115188,2500,2.63,2021-09-24,10.2169983854813,0.717838990551883,20.2612021831958,2.2579657323623
032830,삼성생명,72400,600,0.84,KOSPI,보험,1.448e+13,7049,209474,2500,3.45,2021-09-24,11.4394059093064,0.332029369006618,4.96094285322735,
086790,하나금융지주,44850,550,1.24,KOSPI,기타금융,13465856480700,8858,102296,1850,4.12,2021-09-24,5.10611879292431,0.426130653212153,,
009150,삼성전기,178500,1500,0.85,KOSPI,전기전자,13332824736000,7993,74385,1400,0.78,2021-09-24,22.0742131390728,2.25582443421765,8.39545666897551,1.62423096665733
036570,엔씨소프트,596000,12000,2.05,KOSPI,서비스업,13084597112000,28504,143098,8550,1.43,2021-09-24,22.2754462240381,4.16084113333545,18.4915165517241,5.41536177137654
018260,삼성에스디에스,164000,-1500,-0.91,KOSPI,서비스업,12689959200000,5733,86188,2400,1.46,2021-09-24,28.6132112739572,1.85009100319284,12.956870737186,1.15181069943907
003670,포스코케미칼,162000,4000,2.53,KOSPI,비금속광물,12549041640000,455,15401,300,0.19,2021-09-24,423.954109459459,12.2597124267292,327.651217754569,8.01241325501213
003490,대한항공,34250,50,0.15,KOSPI,운수창고업,11912863256250,,14181,0,0,2021-09-24,,3.59720483626234,8.65320204565265,1.56620431440798
010950,S-Oil,105000,1000,0.96,KOSPI,화학,11821193160000,,48733,0,0,2021-09-24,,2.0802803625165,7.24781922746781,0.702400705894936
033780,KT&G,81100,200,0.25,KOSPI,기타제조업,11134421506700,9320,65822,4800,5.92,2021-09-24,9.50279210267133,1.22469328904703,8.82493580621384,2.10020022383809
000810,삼성화재,228500,1000,0.44,KOSPI,보험,10825150254500,17760,321574,8800,3.85,2021-09-24,14.3379473569536,0.664833425733149,7.29506722454343,
090430,아모레퍼시픽,184500,-5000,-2.64,KOSPI,화학,10791914035500,512,64736,800,0.43,2021-09-24,307.461938333333,2.41732686038437,19.4659344074675,2.43488877656694
034020,두산중공업,20550,-550,-2.61,KOSPI,기계,10615562306250,,8511,0,0,2021-09-24,,1.49378207362978,35.9605769181911,0.701512139928234
352820,하이브,268000,-2500,-0.92,KOSPI,서비스업,10465618956000,2956,33218,0,0,2021-09-24,122.119241026838,8.72935103511552,89.6796825706941,13.1428091874922
247540,에코프로비엠,470600,600,0.13,KOSDAQ,일반전기전자,10315300699600,2256,21088,450,0.1,2021-09-24,219.942445620469,22.074257863471,82.5224055968,12.0689138874459
251270,넷마블,120000,-1000,-0.83,KOSPI,서비스업,10314420240000,3827,62986,767,0.64,2021-09-24,32.9534192971246,1.82536726011397,27.7045937147462,4.15100621377978
010130,고려아연,512000,2000,0.39,KOSPI,철강금속,9.66144e+12,32418,369358,15000,2.93,2021-09-24,16.8611518324607,1.36326231127416,21.1641621029573,1.27427689629249
329180,현대중공업,99200,100,0.1,KOSPI,운수장비,8806293107200,,75746,0,0,2021-09-24,,1.64271994985823,,1.05946740943215
011170,롯데케미칼,256000,-2500,-0.97,KOSPI,화학,8774507264000,4623,374803,3600,1.41,2021-09-24,55.3596672807571,0.639895807006797,6.69400920353982,0.717868548146936
018880,한온시스템,16200,-100,-0.61,KOSPI,기계,8.64756e+12,207,3967,320,1.98,2021-09-24,78.329347826087,3.86155220148254,10.8692307692308,1.25822954254452
030200,KT,32450,-50,-0.15,KOSPI,통신업,8473078169600,2684,53661,1350,4.16,2021-09-24,12.8770184948328,0.544843433362913,1.78764466213764,0.354274551656374
326030,SK바이오팜,107000,-2500,-2.28,KOSPI,서비스업,8379517750000,,4840,0,0,2021-09-24,,22.1037134001583,,322.289144230769
316140,우리금융지주,11150,50,0.45,KOSPI,기타금융,8117875121350,1742,31918,360,3.23,2021-09-24,6.20964975242867,0.3037467586134,2.25121328933722,
009830,한화솔루션,40750,-1350,-3.21,KOSPI,화학,7794598752750,1860,35699,0,0,2021-09-24,25.2170778154319,1.30613113138227,7.28807737517532,0.847699701223491
024110,기업은행,10150,50,0.5,KOSPI,은행,7554650958050,1977,31597,471,4.64,2021-09-24,4.91935336201732,0.300475730464198,,
009540,한국조선해양,102000,1000,0.99,KOSPI,운수장비,7218857832000,,154102,0,0,2021-09-24,,0.581172336972273,,0.484366823808853
034220,LG디스플레이,18950,-450,-2.32,KOSPI,전기전자,6780607515000,,31863,0,0,2021-09-24,,0.532359327230331,2.96497770562771,0.279842324835638
011790,SKC,176000,1500,0.86,KOSPI,화학,6664820448000,1048,47746,1000,0.57,2021-09-24,179.644756010782,3.4801422630672,19.7710484959953,2.46644232403227
086280,현대글로비스,176000,-1000,-0.56,KOSPI,운수창고업,6.6e+12,16165,135079,3500,1.99,2021-09-24,10.8874958759485,1.30270014211274,6.75606510390009,0.39951815688957
066970,엘앤에프,190400,31300,19.67,KOSDAQ,IT부품,6583790001600,,6665,50,0.03,2021-09-24,,33.3187753117409,145.337527629139,18.4885987127211
004020,현대제철,48650,-100,-0.21,KOSPI,철강금속,6492137440250,,122488,500,1.03,2021-09-24,,0.388913762669981,3.23249225266381,0.360206034391402
097950,CJ제일제당,430000,-2500,-0.58,KOSPI,음식료품,6473299980000,42783,321970,4000,0.93,2021-09-24,9.44180277129522,0.636734732058546,3.2337396243381,0.266987547482646
032640,LG유플러스,14800,50,0.34,KOSPI,통신업,6461848142800,1095,16891,450,3.04,2021-09-24,13.8428623453299,0.844553552749895,2.53545010703916,0.481594930747675
028300,에이치엘비,60300,-2400,-3.83,KOSDAQ,운송장비·부품,6428586859200,,4533,0,0,2021-09-24,,11.5331662346609,,114.387666533808
035250,강원랜드,28150,-250,-0.88,KOSPI,서비스업,6022425075000,,15177,0,0,2021-09-24,,1.85476596088697,,12.5834205495194
011780,금호석유,194500,-6000,-2.99,KOSPI,화학,5925965899500,20881,94002,4200,2.16,2021-09-24,10.1663508311889,1.88173691715356,7.68109643486714,1.23213762334962
000720,현대건설,53200,-1400,-2.56,KOSPI,건설업,5924126698000,1067,57894,600,1.13,2021-09-24,48.4393025183974,0.675776453048002,3.42494461351679,0.349075576310037
263750,펄어비스,87400,5200,6.33,KOSDAQ,디지털컨텐츠,5787759100000,1655,9739,0,0,2021-09-24,57.3613389494549,9.08739064217303,36.7710235069886,11.8407510229133
068760,셀트리온제약,156600,-7400,-4.51,KOSDAQ,제약,5723497135800,574,8230,0,0,2021-09-24,272.82,19.0402432994012,157.672097404959,24.5012719854452
006800,미래에셋증권,8860,50,0.57,KOSPI,증권,5628903374880,1213,11595,200,2.26,2021-09-24,6.84948086502799,0.602260078841895,6.67010709193032,
021240,코웨이,76000,-1100,-1.43,KOSPI,서비스업,5608771044000,5584,20207,1200,1.58,2021-09-24,13.8522376981971,3.76427586845638,9.96583341151386,1.73249244578983
383220,F&F,731000,33000,4.73,KOSPI,섬유의복,5600494365000,,,0,0,2021-09-24,,,,
161390,한국타이어앤테크놀로지,44900,550,1.24,KOSPI,화학,5561990598100,3032,59556,650,1.45,2021-09-24,14.9395396134838,0.750393356552124,4.3086146084902,0.861909872479893
011070,LG이노텍,217000,1500,0.7,KOSPI,전기전자,5135762219000,9978,102576,700,0.32,2021-09-24,21.7524871622194,2.1154847052766,5.40435885404609,0.538238300844704
028050,삼성엔지니어링,26050,-1950,-6.96,KOSPI,서비스업,5.1058e+12,1249,8167,0,0,2021-09-24,20.2209900990099,3.2280457735348,114.995495495496,0.756504474604398
293490,카카오게임즈,68300,-600,-0.87,KOSDAQ,디지털컨텐츠,5101094438500,1388,13529,0,0,2021-09-24,59.3150516104651,4.97473614053052,61.9817064216282,10.2948424591322
137310,에스디바이오센서,49350,-550,-1.1,KOSPI,의료정밀,5096441270550,6597,8016,535,1.08,2021-09-24,8.27881947782651,6.72708721033527,10.2875277968308,3.02244174507769
267250,현대중공업지주,64100,-300,-0.47,KOSPI,화학,5063456748500,,88804,3700,5.77,2021-09-24,,0.456253592886943,5.70787594239657,0.267751930014277
071050,한국금융지주,87200,-300,-0.34,KOSPI,기타금융,4859306502400,14780,91124,3000,3.44,2021-09-24,5.62745396919514,0.862757044617652,,
271560,오리온,122000,-2000,-1.61,KOSPI,음식료품,4823408104000,6769,46286,750,0.61,2021-09-24,18.024693961136,2.54198055546772,10.4629243036876,2.16315728047358
139480,이마트,173000,-1500,-0.86,KOSPI,유통업,4822516687000,12378,325504,2000,1.16,2021-09-24,13.3292335185185,0.459436073299926,3.47944926911977,0.218876988471838
008930,한미사이언스,68200,-600,-0.87,KOSPI,기타금융,4590174470200,343,9788,200,0.29,2021-09-24,203.105065053097,6.96853570699863,332.62133842029,5.35359746932587
138040,메리츠금융지주,33900,-800,-2.31,KOSPI,기타금융,4542982866600,3596,24992,900,2.65,2021-09-24,9.27707344619155,0.660576514998619,,
005830,DB손해보험,62700,-300,-0.48,KOSPI,보험,4.43916e+12,9171,90596,2200,3.51,2021-09-24,7.94409448818898,0.682464717277004,3.5707528957529,
000100,유한양행,62900,-800,-1.26,KOSPI,의약품,4401299121100,2943,25880,400,0.64,2021-09-24,22.8283149434647,2.38359010078527,152.822886149306,2.71701902654485
036490,SK머티리얼즈,414900,-1900,-0.46,KOSDAQ,반도체,4376229527700,13940,41447,4000,0.96,2021-09-24,33.7932782061776,8.67095210560729,15.5350710958466,4.58243929602094
016360,삼성증권,48500,-250,-0.51,KOSPI,증권,4.33105e+12,5686,59542,2200,4.54,2021-09-24,8.529046868846,0.8145511651088,,
014680,한솔케미칼,371500,23500,6.75,KOSPI,화학,4211024942500,11067,48977,1800,0.48,2021-09-24,34.3196816829666,6.76687279848948,25.5213632878788,6.7996527409979
180640,한진칼,63000,-400,-0.63,KOSPI,운수창고업,4204548999000,,22665,0,0,2021-09-24,,2.52631676921228,,10.2851002910959
002790,아모레G,50800,-900,-1.74,KOSPI,화학,4188875544000,74,33851,230,0.45,2021-09-24,402.776494615385,0.6678691875,6.28960291891892,0.849653261394292
003410,쌍용C&E,8250,-80,-0.96,KOSPI,비금속광물,4156841658750,275,3353,440,5.33,2021-09-24,30.0784490502894,2.46010632582707,10.7718104657942,2.8262453486198
078930,GS,43700,950,2.22,KOSPI,기타금융,4060402018600,,88213,1900,4.35,2021-09-24,,0.377483569804304,2.33598091048211,0.262907888955077
241560,두산밥캣,40450,-1050,-2.53,KOSPI,기계,4055078764700,2466,40637,0,0,2021-09-24,16.3841566250505,0.99540447854583,7.1733217136034,0.946983667990005
002380,KCC,455000,11500,2.59,KOSPI,화학,4043344305000,72945,548119,5700,1.25,2021-09-24,6.77958468309859,0.770748056614563,5.94696912045889,0.795370270084192
006280,녹십자,344500,-10000,-2.82,KOSPI,의약품,4026012341000,7101,95710,1500,0.44,2021-09-24,49.7038560617284,3.17183671393682,111.833676138889,2.67669193604149
020150,일진머티리얼즈,86700,3100,3.71,KOSPI,전기전자,3997809394500,927,13255,200,0.23,2021-09-24,93.6255127517564,4.68346930002343,80.7638261515151,7.44609684205625
